,Country,Price 2014,Affordability Change 2014,Tax Share 2014,Tax Structure 2014,Overall Score 2014,Price 2016,Affordability Change 2016,Tax Share 2016,Tax Structure 2016,Overall Score 2016,Price 2018,Affordability Change 2018,Tax Share 2018,Tax Structure 2018,Overall Score 2018,Price 2020,Affordability Change 2020,Tax Share 2020,Tax Structure 2020,Overall Score 2020
184,United Kingdom of Great Britain and Northern Ireland,5,2,4.5,4,3.88,5,2,4.5,4,3.88,5,3,4.5,5,4.38,5,3,4.5,5,4.38
185,United Republic of Tanzania,2,0,0,1,0.75,1, ,0,1,0.5,1,0,0,1,0.5,2,0,0,1,0.75
186,United States of America,3,0,1,4,2,3, ,1,4,2,3, ,1,4,2,3,0,1,4,2
187,Uruguay,2,0,3,4,2.25,2,0,3,4,2.25,2,0,3,4,2.25,2,4,3,4,3.25
188,Uzbekistan,1, ,0,1,0.5,1,0,0.5,1,0.63,1,0,0.5,1,0.63,1,3,2.5,1,1.88
189,Vanuatu,3,0,2, , ,3,0,2,4,2.25,2, ,2.5,4,2.13,2,0,2,4,2
190,Venezuela (Bolivarian Republic of), ,1,4, , , ,1,4,2, , ,1,4,2, , ,1,4, , 
191,Viet Nam,1, ,0,2,0.75,1,0,0.5,2,0.88,1,0,0.5,2,0.88,1, ,1,2,1
192,Yemen, ,4,1,4, , ,5,1,1, , ,5,1,4, , ,5,1,4, 
193,Zambia,1, ,0,2,0.75,2,0,0.5,2,1.13,1,0,0.5,2,0.88,1,0,0.5,4,1.38
194,Zimbabwe,1,0,0.5,4,1.38,1,5,0.5,4,2.63,0,0,0.5,4,1.13,2,0,0,3,1.25
